,Date,Company,Money,Stock,Profit,B/S
0,04-01-2016,ACC,10000,0,0,S
1,08-02-2016,ACC,0,7.808839606,0,B
2,11-02-2016,ACC,9636.108074,0,0,S
3,22-02-2016,ACC,0,7.519397639,0,B
4,24-02-2016,ACC,9272.545198,0,0,S
5,17-03-2016,ACC,0,7.280007222,0,B
6,23-05-2016,ACC,10000,0,323.0502406,S
7,24-05-2016,ACC,0,6.914912008,323.0502406,B
8,26-08-2016,ACC,10000,0,1651.059092,S
9,30-08-2016,ACC,0,5.922065616,1651.059092,B
10,12-09-2016,ACC,9371.076632,0,1651.059092,S
11,04-01-2016,ADANIPORTS,10000,0,0,S
12,03-03-2016,ADANIPORTS,0,43.95604396,0,B
13,08-04-2016,ADANIPORTS,9637.362637,0,0,S
14,13-04-2016,ADANIPORTS,0,41.26466554,0,B
15,04-05-2016,ADANIPORTS,8593.366599,0,0,S
16,06-06-2016,ADANIPORTS,0,42.18638488,0,B
17,30-09-2016,ADANIPORTS,10000,0,831.3543168,S
18,04-10-2016,ADANIPORTS,0,37.21622627,831.3543168,B
19,05-10-2016,ADANIPORTS,9879.047265,0,831.3543168,S
20,20-10-2016,ADANIPORTS,0,34.63294396,831.3543168,B
21,15-11-2016,ADANIPORTS,9234.874507,0,831.3543168,S
22,08-12-2016,ADANIPORTS,0,32.16605541,831.3543168,B
23,22-12-2016,ADANIPORTS,8477.363902,0,831.3543168,S
24,04-01-2016,ADANITRANS,10000,0,0,S
25,01-02-2016,ADANITRANS,0,255.7544757,0,B
26,03-02-2016,ADANITRANS,8299.232737,0,0,S
27,15-03-2016,ADANITRANS,0,262.2190438,0,B
28,27-04-2016,ADANITRANS,8456.564163,0,0,S
29,01-06-2016,ADANITRANS,0,263.8553561,0,B
30,29-09-2016,ADANITRANS,9973.73246,0,0,S
31,05-10-2016,ADANITRANS,0,231.4091058,0,B
32,26-12-2016,ADANITRANS,10000,0,1963.85077,S
33,28-12-2016,ADANITRANS,0,179.5332136,1963.85077,B
34,04-01-2016,AMBUJACEM,10000,0,0,S
35,08-02-2016,AMBUJACEM,0,50.7227999,0,B
36,11-02-2016,AMBUJACEM,9807.25336,0,0,S
37,15-02-2016,AMBUJACEM,0,49.53158263,0,B
38,17-02-2016,AMBUJACEM,9579.40808,0,0,S
39,04-03-2016,AMBUJACEM,0,47.32909131,0,B
40,03-05-2016,AMBUJACEM,10000,0,346.1393594,S
41,27-05-2016,AMBUJACEM,0,43.4310532,346.1393594,B
42,14-09-2016,AMBUJACEM,10000,0,1814.108958,S
43,04-01-2016,ASHOKLEY,0,108.6956522,0,B
