,Date,Company,Money,Stock,Profit,B/S
0,05-04-2017,ACC,0,6.801795674,0,B
1,30-05-2017,ACC,10000,0,1121.956196,S
2,01-06-2017,ACC,0,6.030999337,1121.956196,B
3,06-06-2017,ACC,9691.815934,0,1121.956196,S
4,20-06-2017,ACC,0,5.864409242,1121.956196,B
5,27-06-2017,ACC,9257.263209,0,1121.956196,S
6,11-07-2017,ACC,0,5.607743645,1121.956196,B
7,22-09-2017,ACC,9467.553596,0,1121.956196,S
8,16-10-2017,ACC,0,5.290022683,1121.956196,B
9,14-11-2017,ACC,9220.774038,0,1121.956196,S
10,16-11-2017,ACC,0,5.135061976,1121.956196,B
11,17-11-2017,ACC,9053.371017,0,1121.956196,S
12,21-12-2017,ACC,0,5.206527887,1121.956196,B
13,29-01-2018,ACC,9052.590038,0,1121.956196,S
14,05-04-2017,ADANIPORTS,0,27.92126204,0,B
15,11-04-2017,ADANIPORTS,9320.117269,0,0,S
16,05-05-2017,ADANIPORTS,0,27.01874843,0,B
17,29-05-2017,ADANIPORTS,8856.745734,0,0,S
18,02-06-2017,ADANIPORTS,0,24.74642563,0,B
19,21-08-2017,ADANIPORTS,9303.418716,0,0,S
20,14-09-2017,ADANIPORTS,0,23.07967928,0,B
21,27-09-2017,ADANIPORTS,8598.334515,0,0,S
22,11-10-2017,ADANIPORTS,0,21.66100142,0,B
23,16-11-2017,ADANIPORTS,8603.749765,0,0,S
24,21-12-2017,ADANIPORTS,0,21.3864026,0,B
25,06-02-2018,ADANIPORTS,8657.215771,0,0,S
26,05-04-2017,ADANITRANS,0,139.8601399,0,B
27,28-04-2017,ADANITRANS,10000,0,860.1398601,S
28,12-05-2017,ADANITRANS,0,111.2347052,860.1398601,B
29,09-08-2017,ADANITRANS,10000,0,4519.761662,S
30,01-09-2017,ADANITRANS,0,78.30853563,4519.761662,B
31,27-11-2017,ADANITRANS,10000,0,9887.81178,S
32,19-12-2017,ADANITRANS,0,49.05567819,9887.81178,B
33,31-01-2018,ADANITRANS,10000,0,10135.54295,S
34,05-04-2017,AMBUJACEM,0,41.88481675,0,B
35,19-04-2017,AMBUJACEM,10000,0,58.63874346,S
36,25-04-2017,AMBUJACEM,0,40.58441558,58.63874346,B
37,23-05-2017,AMBUJACEM,9732.142857,0,58.63874346,S
38,27-06-2017,AMBUJACEM,0,40.4242694,58.63874346,B
39,25-09-2017,AMBUJACEM,10000,0,659.9033926,S
40,12-10-2017,AMBUJACEM,0,36.04902668,659.9033926,B
41,09-11-2017,AMBUJACEM,9769.286229,0,659.9033926,S
42,22-12-2017,AMBUJACEM,0,36.50704869,659.9033926,B
43,23-01-2018,AMBUJACEM,9590.401691,0,659.9033926,S
44,05-04-2017,ASHOKLEY,0,117.7856302,0,B
45,07-04-2017,ASHOKLEY,9846.878681,0,0,S
46,24-04-2017,ASHOKLEY,0,112.8582084,0,B
47,05-05-2017,ASHOKLEY,9389.802937,0,0,S
48,11-05-2017,ASHOKLEY,0,108.4899242,0,B
49,24-05-2017,ASHOKLEY,8934.145255,0,0,S
50,25-05-2017,ASHOKLEY,0,103.70453,0,B
51,18-08-2017,ASHOKLEY,10000,0,748.9745295,S
52,31-08-2017,ASHOKLEY,0,93.37068161,748.9745295,B
53,08-11-2017,ASHOKLEY,10000,0,1874.091243,S
54,26-12-2017,ASHOKLEY,0,83.92782207,1874.091243,B
55,05-04-2017,ASIANPAINT,10000,0,0,S
56,25-04-2017,ASIANPAINT,0,9.108297659,0,B
57,24-05-2017,ASIANPAINT,9938.974406,0,0,S
58,29-05-2017,ASIANPAINT,0,8.668592216,0,B
59,28-06-2017,ASIANPAINT,9614.769057,0,0,S
60,19-07-2017,ASIANPAINT,0,8.318353642,0,B
61,18-08-2017,ASIANPAINT,9482.923152,0,0,S
62,29-08-2017,ASIANPAINT,0,8.233848356,0,B
63,28-09-2017,ASIANPAINT,9304.248642,0,0,S
64,24-10-2017,ASIANPAINT,0,7.608347896,0,B
65,03-11-2017,ASIANPAINT,8920.407491,0,0,S
66,29-12-2017,ASIANPAINT,0,7.699963307,0,B
67,29-01-2018,ASIANPAINT,8870.742728,0,0,S
68,14-03-2018,ASIANPAINT,0,7.801884545,0,B
69,19-03-2018,ASIANPAINT,8601.967805,0,0,S
70,05-04-2017,AUROPHARMA,10000,0,0,S
71,08-06-2017,AUROPHARMA,0,16.52755971,0,B
72,10-08-2017,AUROPHARMA,10000,0,1325.510288,S
73,28-08-2017,AUROPHARMA,0,13.45261317,1325.510288,B
74,25-09-2017,AUROPHARMA,9428.26394,0,1325.510288,S
75,11-10-2017,AUROPHARMA,0,12.87838265,1325.510288,B
76,14-11-2017,AUROPHARMA,9034.82935,0,1325.510288,S
77,05-04-2017,DMART,10000,0,0,S
78,06-04-2017,DMART,0,15.05117399,0,B
79,18-05-2017,DMART,10000,0,948.9765202,S
80,02-06-2017,DMART,0,12.8262682,948.9765202,B
81,07-11-2017,DMART,10000,0,5060.436791,S
82,13-11-2017,DMART,0,8.613635385,5060.436791,B
83,14-11-2017,DMART,9665.790947,0,5060.436791,S
84,24-11-2017,DMART,0,8.405766542,5060.436791,B
85,29-11-2017,DMART,9461.110532,0,5060.436791,S
86,04-12-2017,DMART,0,8.222047911,5060.436791,B
87,12-12-2017,DMART,9173.749957,0,5060.436791,S
88,19-12-2017,DMART,0,8.005017415,5060.436791,B
89,23-01-2018,DMART,9359.466361,0,5060.436791,S
90,14-02-2018,DMART,0,7.790466424,5060.436791,B
91,05-04-2017,AXISBANK,0,19.67342121,0,B
92,17-04-2017,AXISBANK,9882.943144,0,0,S
93,26-04-2017,AXISBANK,0,19.11039958,0,B
94,17-05-2017,AXISBANK,9608.70891,0,0,S
95,30-05-2017,AXISBANK,0,18.67944967,0,B
96,23-06-2017,AXISBANK,9426.584276,0,0,S
97,03-07-2017,AXISBANK,0,18.22442586,0,B
98,07-07-2017,AXISBANK,9169.619871,0,0,S
99,10-07-2017,AXISBANK,0,17.98140969,0,B
100,11-07-2017,AXISBANK,9112.97843,0,0,S
101,13-07-2017,AXISBANK,0,17.802263,0,B
102,04-08-2017,AXISBANK,9045.329831,0,0,S
103,14-09-2017,AXISBANK,0,17.403232,0,B
104,06-10-2017,AXISBANK,8759.916826,0,0,S
105,10-10-2017,AXISBANK,0,17.02442294,0,B
106,18-10-2017,AXISBANK,7907.844458,0,0,S
107,01-11-2017,AXISBANK,0,14.77825539,0,B
108,07-02-2018,AXISBANK,8266.217151,0,0,S
109,05-04-2017,BAJAJ-AUTO,10000,0,0,S
110,06-04-2017,BAJAJ-AUTO,0,3.563410897,0,B
111,24-05-2017,BAJAJ-AUTO,9850.336742,0,0,S
112,19-07-2017,BAJAJ-AUTO,0,3.488450169,0,B
113,21-08-2017,BAJAJ-AUTO,9650.797393,0,0,S
114,04-09-2017,BAJAJ-AUTO,0,3.310566315,0,B
115,05-12-2017,BAJAJ-AUTO,10000,0,474.3007635,S
116,19-12-2017,BAJAJ-AUTO,0,3.012229652,474.3007635,B
117,10-01-2018,BAJAJ-AUTO,9661.425387,0,474.3007635,S
118,24-01-2018,BAJAJ-AUTO,0,2.89130056,474.3007635,B
119,06-02-2018,BAJAJ-AUTO,9064.516386,0,474.3007635,S
120,05-04-2017,BAJFINANCE,10000,0,0,S
121,06-04-2017,BAJFINANCE,0,8.346548702,0,B
122,23-05-2017,BAJFINANCE,10000,0,297.5544612,S
123,30-05-2017,BAJFINANCE,0,7.566872233,297.5544612,B
124,23-10-2017,BAJFINANCE,10000,0,4173.306419,S
125,22-12-2017,BAJFINANCE,0,5.610255547,4173.306419,B
126,03-01-2018,BAJFINANCE,9623.27134,0,4173.306419,S
127,04-01-2018,BAJFINANCE,0,5.486471688,4173.306419,B
128,16-01-2018,BAJFINANCE,9257.598002,0,4173.306419,S
129,14-03-2018,BAJFINANCE,0,5.413483423,4173.306419,B
130,05-04-2017,BAJAJFINSV,0,2.422011238,0,B
131,19-05-2017,BAJAJFINSV,10000,0,99.54466189,S
132,13-07-2017,BAJAJFINSV,0,2.291186949,99.54466189,B
133,25-09-2017,BAJAJFINSV,10000,0,1808.884685,S
134,22-11-2017,BAJAJFINSV,0,1.931863185,1808.884685,B
135,05-12-2017,BAJAJFINSV,9666.367228,0,1808.884685,S
136,15-12-2017,BAJAJFINSV,0,1.869576959,1808.884685,B
137,04-01-2018,BAJAJFINSV,9464.826832,0,1808.884685,S
138,12-02-2018,BAJAJFINSV,0,1.807834442,1808.884685,B
139,22-02-2018,BAJAJFINSV,8952.124984,0,1808.884685,S
