,Entries,ticker,signal,Date
0,"AARTIIND.NS2020-11-04 00:00:00 1019.0999755859375  Yes, buy it",AARTIIND.NS,Buy,2020-11-04
1,"ADANIPOWER.NS2020-11-06 00:00:00 37.70000076293945  Yes, buy it",ADANIPOWER.NS,Buy,2020-11-06
2,"ALKEM.NS2020-11-06 00:00:00 2752.75  Yes, buy it",ALKEM.NS,Buy,2020-11-06
3,"ALLCARGO.NS2020-11-04 00:00:00 120.30000305175781  Yes, buy it",ALLCARGO.NS,Buy,2020-11-04
4,ALLCARGO.NS 2020-11-06 00:00:00 118.3499984741211  Sell it,ALLCARGO.NS,Sell,2020-11-06
5,ASTERDM.NS 2020-11-04 00:00:00 132.89999389648438  Sell it,ASTERDM.NS,Sell,2020-11-04
6,"ATUL.NS2020-11-06 00:00:00 6150.0  Yes, buy it",ATUL.NS,Buy,2020-11-06
7,"BAJAJFINSV.NS2020-11-06 00:00:00 6286.4501953125  Yes, buy it",BAJAJFINSV.NS,Buy,2020-11-06
8,"BALKRISIND.NS2020-11-06 00:00:00 1453.0  Yes, buy it",BALKRISIND.NS,Buy,2020-11-06
9,BALRAMCHIN.NS 2020-11-04 00:00:00 149.64999389648438  Sell it,BALRAMCHIN.NS,Sell,2020-11-04
10,"BANDHANBNK.NS2020-11-05 00:00:00 321.0  Yes, buy it",BANDHANBNK.NS,Buy,2020-11-05
11,"BHARATFORG.NS2020-11-05 00:00:00 473.1499938964844  Yes, buy it",BHARATFORG.NS,Buy,2020-11-05
12,"BIRLACORPN.NS2020-11-06 00:00:00 669.25  Yes, buy it",BIRLACORPN.NS,Buy,2020-11-06
13,"CARERATING.NS2020-11-05 00:00:00 404.29998779296875  Yes, buy it",CARERATING.NS,Buy,2020-11-05
14,"CIPLA.NS2020-11-05 00:00:00 793.5  Yes, buy it",CIPLA.NS,Buy,2020-11-05
15,"COALINDIA.NS2020-11-06 00:00:00 121.80000305175781  Yes, buy it",COALINDIA.NS,Buy,2020-11-06
16,"COROMANDEL.NS2020-11-06 00:00:00 760.7999877929688  Yes, buy it",COROMANDEL.NS,Buy,2020-11-06
17,"DCBBANK.NS2020-11-06 00:00:00 84.30000305175781  Yes, buy it",DCBBANK.NS,Buy,2020-11-06
18,"DIVISLAB.NS2020-11-05 00:00:00 3209.0  Yes, buy it",DIVISLAB.NS,Buy,2020-11-05
19,"EIDPARRY.NS2020-11-06 00:00:00 283.95001220703125  Yes, buy it",EIDPARRY.NS,Buy,2020-11-06
20,ENGINERSIN.NS 2020-11-04 00:00:00 64.25  Sell it,ENGINERSIN.NS,Sell,2020-11-04
21,"ENGINERSIN.NS2020-11-06 00:00:00 67.3499984741211  Yes, buy it",ENGINERSIN.NS,Buy,2020-11-06
22,"ERIS.NS2020-11-05 00:00:00 515.3499755859375  Yes, buy it",ERIS.NS,Buy,2020-11-05
23,"ESCORTS.NS2020-11-04 00:00:00 1232.3499755859375  Yes, buy it",ESCORTS.NS,Buy,2020-11-04
24,"EXIDEIND.NS2020-11-05 00:00:00 163.0  Yes, buy it",EXIDEIND.NS,Buy,2020-11-05
25,"FEDERALBNK.NS2020-11-05 00:00:00 54.150001525878906  Yes, buy it",FEDERALBNK.NS,Buy,2020-11-05
26,"FSL.NS2020-11-05 00:00:00 72.5999984741211  Yes, buy it",FSL.NS,Buy,2020-11-05
27,"GMRINFRA.NS2020-11-05 00:00:00 24.149999618530273  Yes, buy it",GMRINFRA.NS,Buy,2020-11-05
28,"GAYAPROJ.NS2020-11-04 00:00:00 21.049999237060547  Yes, buy it",GAYAPROJ.NS,Buy,2020-11-04
29,"GILLETTE.NS2020-11-06 00:00:00 5386.9501953125  Yes, buy it",GILLETTE.NS,Buy,2020-11-06
30,"GLENMARK.NS2020-11-05 00:00:00 509.5  Yes, buy it",GLENMARK.NS,Buy,2020-11-05
31,GODREJAGRO.NS 2020-11-05 00:00:00 511.0  Sell it,GODREJAGRO.NS,Sell,2020-11-05
32,GRANULES.NS 2020-11-04 00:00:00 376.04998779296875  Sell it,GRANULES.NS,Sell,2020-11-04
33,"GUJGASLTD.NS2020-11-06 00:00:00 312.8500061035156  Yes, buy it",GUJGASLTD.NS,Buy,2020-11-06
34,HCLTECH.NS 2020-11-04 00:00:00 815.1500244140625  Sell it,HCLTECH.NS,Sell,2020-11-04
35,"HCLTECH.NS2020-11-06 00:00:00 850.0999755859375  Yes, buy it",HCLTECH.NS,Buy,2020-11-06
36,"HDFCAMC.NS2020-11-06 00:00:00 2377.25  Yes, buy it",HDFCAMC.NS,Buy,2020-11-06
37,"HATSUN.NS2020-11-05 00:00:00 819.8499755859375  Yes, buy it",HATSUN.NS,Buy,2020-11-05
38,"HEIDELBERG.NS2020-11-04 00:00:00 188.10000610351562  Yes, buy it",HEIDELBERG.NS,Buy,2020-11-04
39,"HINDALCO.NS2020-11-05 00:00:00 187.35000610351562  Yes, buy it",HINDALCO.NS,Buy,2020-11-05
40,IDBI.NS 2020-11-05 00:00:00 36.25  Sell it,IDBI.NS,Sell,2020-11-05
41,"IDFCFIRSTB.NS2020-11-06 00:00:00 31.649999618530273  Yes, buy it",IDFCFIRSTB.NS,Buy,2020-11-06
42,"IIFL.NS2020-11-05 00:00:00 83.75  Yes, buy it",IIFL.NS,Buy,2020-11-05
43,"ITC.NS2020-11-06 00:00:00 173.9499969482422  Yes, buy it",ITC.NS,Buy,2020-11-06
44,"ITDCEM.NS2020-11-06 00:00:00 52.900001525878906  Yes, buy it",ITDCEM.NS,Buy,2020-11-06
45,"INDIACEM.NS2020-11-05 00:00:00 121.5  Yes, buy it",INDIACEM.NS,Buy,2020-11-05
46,"INDIANB.NS2020-11-06 00:00:00 60.150001525878906  Yes, buy it",INDIANB.NS,Buy,2020-11-06
47,"INDHOTEL.NS2020-11-06 00:00:00 98.55000305175781  Yes, buy it",INDHOTEL.NS,Buy,2020-11-06
48,"IOB.NS2020-11-05 00:00:00 9.699999809265137  Yes, buy it",IOB.NS,Buy,2020-11-05
49,JSWENERGY.NS 2020-11-04 00:00:00 58.349998474121094  Sell it,JSWENERGY.NS,Sell,2020-11-04
50,"JAGRAN.NS2020-11-06 00:00:00 37.099998474121094  Yes, buy it",JAGRAN.NS,Buy,2020-11-06
51,"JAMNAAUTO.NS2020-11-04 00:00:00 48.150001525878906  Yes, buy it",JAMNAAUTO.NS,Buy,2020-11-04
52,"KNRCON.NS2020-11-06 00:00:00 253.89999389648438  Yes, buy it",KNRCON.NS,Buy,2020-11-06
53,KTKBANK.NS 2020-11-04 00:00:00 42.099998474121094  Sell it,KTKBANK.NS,Sell,2020-11-04
54,"KARURVYSYA.NS2020-11-05 00:00:00 33.150001525878906  Yes, buy it",KARURVYSYA.NS,Buy,2020-11-05
55,"KEC.NS2020-11-06 00:00:00 336.6499938964844  Yes, buy it",KEC.NS,Buy,2020-11-06
56,"KENNAMET.NS2020-11-06 00:00:00 747.7999877929688  Yes, buy it",KENNAMET.NS,Buy,2020-11-06
57,LAURUSLABS.NS 2020-11-04 00:00:00 277.20001220703125  Sell it,LAURUSLABS.NS,Sell,2020-11-04
58,"LUXIND.NS2020-11-06 00:00:00 1416.949951171875  Yes, buy it",LUXIND.NS,Buy,2020-11-06
59,"MAHSCOOTER.NS2020-11-06 00:00:00 3064.949951171875  Yes, buy it",MAHSCOOTER.NS,Buy,2020-11-06
60,"MAHSEAMLES.NS2020-11-05 00:00:00 230.85000610351562  Yes, buy it",MAHSEAMLES.NS,Buy,2020-11-05
61,"MHRIL.NS2020-11-04 00:00:00 172.35000610351562  Yes, buy it",MHRIL.NS,Buy,2020-11-04
62,MRPL.NS 2020-11-06 00:00:00 27.200000762939453  Sell it,MRPL.NS,Sell,2020-11-06
63,"MOTHERSUMI.NS2020-11-06 00:00:00 117.05000305175781  Yes, buy it",MOTHERSUMI.NS,Buy,2020-11-06
64,"NHPC.NS2020-11-06 00:00:00 21.700000762939453  Yes, buy it",NHPC.NS,Buy,2020-11-06
65,"NMDC.NS2020-11-04 00:00:00 85.3499984741211  Yes, buy it",NMDC.NS,Buy,2020-11-04
66,"NATIONALUM.NS2020-11-06 00:00:00 32.650001525878906  Yes, buy it",NATIONALUM.NS,Buy,2020-11-06
67,"NILKAMAL.NS2020-11-06 00:00:00 1349.949951171875  Yes, buy it",NILKAMAL.NS,Buy,2020-11-06
68,"OMAXE.NS2020-11-06 00:00:00 68.30000305175781  Yes, buy it",OMAXE.NS,Buy,2020-11-06
69,OFSS.NS 2020-11-05 00:00:00 3066.35009765625  Sell it,OFSS.NS,Sell,2020-11-05
70,"ORIENTREF.NS2020-11-05 00:00:00 198.5  Yes, buy it",ORIENTREF.NS,Buy,2020-11-05
71,"PTC.NS2020-11-06 00:00:00 48.650001525878906  Yes, buy it",PTC.NS,Buy,2020-11-06
72,"PAGEIND.NS2020-11-05 00:00:00 21002.400390625  Yes, buy it",PAGEIND.NS,Buy,2020-11-05
73,"PARAGMILK.NS2020-11-06 00:00:00 111.4000015258789  Yes, buy it",PARAGMILK.NS,Buy,2020-11-06
74,PFIZER.NS 2020-11-05 00:00:00 4934.10009765625  Sell it,PFIZER.NS,Sell,2020-11-05
75,"PEL.NS2020-11-05 00:00:00 1335.050048828125  Yes, buy it",PEL.NS,Buy,2020-11-05
76,"QUESS.NS2020-11-05 00:00:00 413.75  Yes, buy it",QUESS.NS,Buy,2020-11-05
