,Training,avg,testing
0,15723.39997092692,12344.551994562134,10109.679217928327
1,15062.35994925489,9064.076100973038,8410.67103278682
2,16379.750684363422,9505.587510092339,11075.640423124609
3,15038.083717241512,12009.571525070118,10957.030987456292
4,12773.227800279594,9346.643106971831,11492.982007404418
5,16150.244047696258,11090.075721267336,9380.217295674749
6,12624.850128701648,9791.763398524155,10797.096932382763
7,18158.971587789456,11547.276702589788,10488.65189342244
8,15862.497318698715,12211.029792703333,10606.450284412284
9,18972.74995742543,11434.325767614937,8396.002514096903
10,16847.017169823463,12280.154598397117,9758.175549129006
11,17695.80160071948,13215.118801242665,10998.372346135382
12,19575.21586405394,13514.364794460758,9913.375661450842
13,19831.41102518842,13346.135678359813,9861.800520200002
14,17560.85926410956,12313.492951195158,9763.497650565267
15,12698.101589999973,10200.49976859478,10422.52259803893
16,12590.134596941749,10751.297861441777,10303.479369858385
17,20482.068891474497,10360.91195165029,9391.271121943799
18,17356.16149465766,11376.53759147769,9349.498087524702
19,14165.630315283299,9794.111602372608,11461.158558931318
20,23443.405263841047,14376.762681654985,8344.10639895313
21,18609.088238664655,10127.345738089598,7122.891894286513
22,13165.463991946723,9555.68172480024,10632.78497068775
23,14538.949181271804,10117.121023467607,9981.649934046105
24,18643.922279465965,11728.13222526903,11605.38635709979
25,14355.029096779259,11958.266541268715,11252.313868422512
26,15311.827600892808,10373.661697132879,9320.341059488079
27,13575.606169544677,11006.747188506853,10686.073963546085
28,17991.35222136917,11759.24046358413,9670.055177902195
29,15541.956088703926,11416.811040408635,10506.163304127944
30,15587.002763075194,11828.576526884306,10000.0
31,18877.06888498357,12687.713330742818,11186.939513764632
32,15986.070537309311,10992.433139547911,11517.236531625873
33,16272.453340443153,10704.53785082141,10000.0
34,14803.352882288164,12220.601772833506,10151.643525283871
35,14724.217251942518,11309.244622471588,9328.256596147297
36,13774.346071906108,12140.655042234708,9453.721804213848
37,18301.458511478068,12714.659685079947,10000.0
38,14080.27897701323,11055.563441160195,11355.778249998948
39,14245.180405813844,10302.036098273882,10583.796261798787
40,19470.37273436887,12458.903642008487,11775.493623276743
41,20126.045755473213,11961.87296558365,8684.95327631927
42,18970.425894290474,11518.828820730188,10522.099333661663
43,12973.709783688038,10466.403617417527,10178.313014229936
44,15775.049094729206,11131.853466804057,9934.922155984103
