,Training,avg,testing
0,15723.39997092692,12408.097284276504,10284.229598881418
1,15062.35994925489,8614.35747713981,8802.925103628873
2,16379.750684363422,9536.261927851887,10870.16559850225
3,15038.083717241512,11877.566550443775,10629.01367600543
4,12773.227800279594,9379.38604220764,10766.316786039999
5,16150.244047696258,11109.630251773775,9279.43308115364
6,12624.850128701648,9949.629310950999,11799.085247357292
7,18158.971587789456,11926.78208293623,10746.680330339746
8,15862.497318698715,11931.942568126718,10950.172477827315
9,18972.74995742543,11292.882607286034,11010.474485215633
10,16847.017169823463,11611.919499351709,10103.48183946644
11,17695.80160071948,12857.473936068287,10992.211979404183
12,19575.21586405394,13222.509309111636,10062.820258408752
13,19831.41102518842,13644.673430267461,9296.517416734938
14,17560.85926410956,11985.213407549,9763.497650565267
15,12698.101589999973,10304.392737507438,10444.738590444835
16,12994.474686855861,10919.278550846337,10000.0
17,20482.068891474497,9627.517385586547,10169.353104158115
18,17356.16149465766,11381.462466528685,9319.235583310883
19,14165.630315283299,9454.196301535589,12720.647053084529
20,23443.405263841047,13973.110816690085,10313.236077925554
21,18609.088238664655,9507.651590963433,9943.935012298181
22,13165.463991946723,10034.062940950076,10454.130752673513
23,14538.949181271804,9705.284017353984,10643.18365451186
24,18643.922279465965,11506.811264635282,12101.62134347897
25,14355.029096779259,12122.683756618599,10960.920496724633
26,15311.827600892808,10303.617750479236,9667.086454257484
27,13575.606169544677,10898.568073097811,11272.231072142196
28,17991.35222136917,11502.432926353664,9670.055177902195
29,15541.956088703926,11020.708471625514,10323.331388931696
30,15587.002763075194,12300.387843623232,10000.0
31,18877.06888498357,12562.356898737424,11435.06561751237
32,15986.070537309311,11154.982877843004,12328.12825768267
33,16272.453340443153,11646.204432240622,10385.384210422044
34,14803.352882288164,12082.040270568621,10742.490531925265
35,14724.217251942518,11057.59861745992,9839.223074345453
36,13774.346071906108,12106.586569477522,9891.226021368711
37,18301.458511478068,12305.797713119595,10663.68016832479
38,14080.27897701323,10964.34143540479,11355.778249998948
39,14245.180405813844,10532.383705032902,11015.437244112118
40,19470.37273436887,12162.214889431332,13360.814161311191
41,20126.045755473213,11833.542826266501,7776.544923693354
42,18970.425894290474,11367.297042254757,10522.099333661663
43,12973.709783688038,10433.315899018968,10034.622347092169
44,15775.049094729206,11419.375573703039,10281.304276252537
