,Training,avg,testing
0,22681.17734041869,9812.82365985908,10149.637331207734
1,21608.05553672938,9796.557877120209,10000.0
2,23599.035126769853,9995.154656022878,12037.677330530812
3,20897.51502509923,10061.53855801268,12491.243861434734
4,18016.129893733818,10896.360398499331,12604.050415933638
5,26577.631703711915,9458.971825086563,10818.963741624446
6,21263.6571597564,11312.768254238901,12108.168971136023
7,17124.005254986692,8319.854108072617,10000.0
8,16624.39041625259,10253.708806927285,11292.398298467615
9,18905.04194426534,11743.783209308967,11522.791690282798
10,18694.165070741554,11461.347468096095,9678.396198502547
11,31446.055981270914,13194.016522525613,8937.79776091742
12,20092.05329366147,10185.262479474597,7922.950794436308
13,30889.905191885766,14206.838691445964,10469.573359523158
14,21735.293174487946,11490.255350419533,9024.331619101371
15,13338.826590367307,9729.936232897866,10000.0
16,20510.07848874193,10889.42506086721,10000.0
17,19529.80650948805,9730.059658751878,13003.552021115673
18,27360.379708381428,12382.044600602874,10097.13493365296
19,19523.620660100707,8519.339536232574,10000.0
20,35625.31413621945,14582.015023373828,12478.703941789416
21,20211.32791895226,9890.773603174239,13130.776000762968
22,22470.421081561835,10618.551607858728,11039.294758876815
23,18621.898732323803,9891.672073674337,10834.128071104162
24,19546.70740841169,9563.126603221823,11713.370838596858
25,18940.665608692594,10771.154289299291,11087.140175645414
26,32002.326237036483,10391.698582818948,10655.288913811775
27,17054.462013039065,11081.691443106409,9980.646343985421
28,23522.192850321197,8844.007410998998,10000.0
29,14781.988917490045,9309.052864868578,9530.471474075148
30,15913.10652192725,9165.858730983451,11951.83641758107
31,33849.03539472411,12788.2243327579,10484.10588707221
32,20611.756362210726,9905.581773538168,11528.195535542362
33,20638.30814964769,10683.749304758247,14043.135469232515
34,21719.617552541753,12697.508268470807,9500.520596169217
35,28861.32742218229,9889.180731494786,10000.0
36,20274.30694717136,12638.403209664793,9677.216795289638
37,24457.451925338384,7209.2025292492535,17909.649561672984
38,18153.48362290038,8185.14582056507,10200.847473853593
39,34763.342245278545,11271.16238057671,11919.48575531906
40,24947.983968698558,13404.355896716132,11742.76298289507
41,23568.941453727442,12161.936061116476,10573.223679566498
42,19354.568873285716,8265.404612301681,18071.272735524763
43,19443.455621339166,9506.942972532142,8845.355646445136
44,18374.13505338269,10394.726900594078,11918.337612917234
