,Training,avg,testing
0,21957.249908023172,10319.911178989922,10000.0
1,21608.05553672938,9965.997673178916,10000.0
2,21290.543536431687,10198.453628619483,10000.0
3,22135.00707326265,10155.644580658356,10000.0
4,17635.75272791066,10290.219223740516,10000.0
5,25075.92351787343,10302.857688382102,10000.0
6,18423.504208441023,10192.590618893088,10000.0
7,16008.628077627585,9578.152711526573,10000.0
8,17964.902383755536,10026.349320728987,10000.0
9,15753.237013827573,10238.487220995348,10000.0
10,15101.827684046202,10286.01108788003,11193.764104575748
11,23673.907649307977,10496.953944131234,9729.421462937506
12,21591.15290360617,10484.102690794069,10553.359019967267
13,26736.26847091446,10751.430641127981,11217.975905157029
14,20844.439120657997,10334.221032270276,10000.0
15,15603.709600423903,10069.422123632465,10000.0
16,16858.87278392202,10219.939232013236,10000.0
17,19554.241632018355,10109.511468646337,10237.399094321174
18,23322.596325301183,10464.145617174652,10420.677481958737
19,17381.603148304177,9644.919413065452,9097.954478361395
20,28431.29672610188,10984.202660209312,10000.0
21,20574.48207967724,10098.557552331833,9717.302355588377
22,21108.435837341756,10338.909590138663,10000.0
23,17328.06631538038,10172.295945604803,10000.0
24,16668.665873662172,10168.452813151021,10000.0
25,18265.847592435253,10150.818479111642,11281.621570772708
26,29030.857519711717,10701.805872547864,10655.288913811775
27,16881.541108240905,10204.475907270124,11598.267743653385
28,27951.706182259048,9909.60203187876,10000.0
29,18757.444112294856,10496.884788663836,10000.0
30,14786.783621035167,10319.916228063603,10000.0
31,37825.12458580351,10925.684791358355,12128.990642358387
32,17853.344038769486,10459.009786257626,11963.732370685706
33,18698.377455492155,10188.324600389806,12989.660401657326
34,15906.939677360762,10537.58934348916,10269.580170780391
35,23658.30158150768,10630.968347663349,10000.0
36,19307.549823172947,10248.713522202695,9947.203025589344
37,20198.323704648912,9518.392122563071,10000.0
38,17390.004881078585,10316.772953045986,11544.032755679771
39,24666.971890418987,10733.335184343567,10424.396363450127
40,22101.369799165117,10455.565912432241,9898.358785161969
41,25440.852206171337,10736.386993182032,10000.0
42,18411.92734143328,10044.534953820954,12406.362530232267
43,14105.950922461936,10388.06999373064,10000.0
44,21974.395711295823,10418.235739547506,10000.0
