,Stock,Sector,Industry,stock
0,,Trading,Trading,3MINDIA.NS
1,,Cement,Cement - North India,ACC.NS
2,,"Castings, Forgings & Fastners",Castings & Forgings,AIAENG.NS
3,,Steel,Steel - Large,APLAPOLLO.NS
4,,Banks,Banks - Private Sector,AUBANK.NS
5,,Chemicals,Chemicals,AARTIIND.NS
6,,Finance,Finance - Housing,AAVAS.NS
7,,Pharmaceuticals,Pharmaceuticals - Multinational,ABBOTINDIA.NS
8,,Gas Distribution,Miscellaneous,ADANIGAS.NS
9,,Power Generation & Distribution,Power Generation And Supply,ADANIGREEN.NS
10,,Infrastructure Developers & Operators,Miscellaneous,ADANIPORTS.NS
11,,Power Generation & Distribution,Power Generation And Supply,ADANIPOWER.NS
12,,Power Generation & Distribution,Power Generation And Supply,ADANITRANS.NS
13,,Finance,Finance & Investments,ABCAPITAL.NS
14,,Retail,Textiles - Products,ABFRL.NS
15,,Chemicals,Chemicals,ADVENZYMES.NS
16,,Trading,Trading,AEGISCHEM.NS
17,,Miscellaneous,Miscellaneous,AFFLE.NS
18,,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,AJANTPHARM.NS
19,,Paints/Varnish,Paints / Varnishes,AKZOINDIA.NS
20,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,APLLTD.NS
21,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,ALKEM.NS
22,,Logistics,Miscellaneous,ALLCARGO.NS
23,,Auto Ancillaries,Auto Ancillaries,AMARAJABAT.NS
24,,Consumer Durables,Electronics - Components,AMBER.NS
25,,Cement,Cement - North India,AMBUJACEM.NS
26,,Healthcare,Healthcare,APOLLOHOSP.NS
27,,Tyres,Tyres,APOLLOTYRE.NS
28,,Retail,Trading,ARVINDFASN.NS
29,,Glass & Glass Products,Glass & Glass Products,ASAHIINDIA.NS
30,,Automobile,Automobiles - LCVs / HCVs,ASHOKLEY.NS
31,,Infrastructure Developers & Operators,Engineering - Turnkey Services,ASHOKA.NS
32,,Paints/Varnish,Paints / Varnishes,ASIANPAINT.NS
33,,Healthcare,Healthcare,ASTERDM.NS
34,,Pharmaceuticals,Pharmaceuticals - Multinational,ASTRAZEN.NS
35,,Plastic products,Plastics Products,ASTRAL.NS
36,,Chemicals,Dyes And Pigments,ATUL.NS
37,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,AUROPHARMA.NS
38,,Miscellaneous,Food - Processing - Indian,AVANTIFEED.NS
39,,Retail,Trading,DMART.NS
40,,Banks,Banks - Private Sector,AXISBANK.NS
41,,Chemicals,Chemicals,BASF.NS
42,,Capital Goods-Non Electrical Equipment,Engineering,BEML.NS
43,,Miscellaneous,Miscellaneous,BSE.NS
44,,Automobile,Automobiles - Scooters And 3 - Wheelers,BAJAJ-AUTO.NS
45,,FMCG,Personal Care - Indian,BAJAJCON.NS
46,,Consumer Durables,Domestic Appliances,BAJAJELEC.NS
47,,Finance,Finance & Investments,BAJFINANCE.NS
48,,Finance,Finance & Investments,BAJAJFINSV.NS
49,,Finance,Finance & Investments,BAJAJHLDNG.NS
50,,Tyres,Tyres,BALKRISIND.NS
51,,Diversified,Diversified - Large,BALMLAWRIE.NS
52,,Sugar,Sugar,BALRAMCHIN.NS
53,,Banks,Banks - Private Sector,BANDHANBNK.NS
54,,Banks,Banks - Public Sector,BANKBARODA.NS
55,,Banks,Banks - Public Sector,BANKINDIA.NS
56,,Banks,Banks - Public Sector,MAHABANK.NS
57,,Leather,Leather / Leather Products,BATAINDIA.NS
58,,Agro Chemicals,Pesticides / Agrochemicals - Multinational,BAYERCROP.NS
59,,Paints/Varnish,Paints / Varnishes,BERGEPAINT.NS
60,,Capital Goods-Non Electrical Equipment,Engineering,BDL.NS
61,,Consumer Durables,Electronics - Components,BEL.NS
62,,"Castings, Forgings & Fastners",Castings & Forgings,BHARATFORG.NS
63,,Capital Goods - Electrical Equipment,Electric Equipment,BHEL.NS
64,,Refineries,Refineries,BPCL.NS
65,,Telecomm-Service,Telecommunications - Service Provider,BHARTIARTL.NS
66,,Telecomm Equipment & Infra Services,Transmisson Line Towers / Equipment,INFRATEL.NS
67,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,BIOCON.NS
68,,Cement,Cement - North India,BIRLACORPN.NS
69,,IT - Software,Computers - Software - Medium / Small,BSOFT.NS
70,,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,BLISSGVS.NS
71,,Logistics,Couriers,BLUEDART.NS
72,,Consumer Durables,Air-conditioners,BLUESTARCO.NS
73,,Plantation & Plantation Products,Tea,BBTC.NS
74,,Textiles,Textiles - Processing,BOMDYEING.NS
75,,Auto Ancillaries,Auto Ancillaries,BOSCHLTD.NS
76,,Realty,Construction,BRIGADE.NS
77,,FMCG,Food - Processing - MNC,BRITANNIA.NS
78,,Credit Rating Agencies,Miscellaneous,CARERATING.NS
79,,Plantation & Plantation Products,Tea,CCL.NS
80,,Power Generation & Distribution,Power Generation And Supply,CESC.NS
81,,Credit Rating Agencies,Miscellaneous,CRISIL.NS
82,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,CADILAHC.NS
83,,Finance,Finance - Housing,CANFINHOME.NS
84,,Banks,Banks - Public Sector,CANBK.NS
85,,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,CAPLIPOINT.NS
86,,Finance,Finance & Investments,CGCL.NS
87,,Capital Goods-Non Electrical Equipment,Abrasives And Grinding Wheels,CARBORUNIV.NS
88,,Chemicals,Chemicals,CASTROLIND.NS
89,,Tyres,Tyres,CEATLTD.NS
90,,Banks,Banks - Public Sector,CENTRALBK.NS
91,,Miscellaneous,Miscellaneous,CDSL.NS
92,,Miscellaneous,Miscellaneous,CENTURYPLY.NS
93,,Ceramic Products,Ceramics - Tiles / Sanitaryware,CERA.NS
94,,Hotels & Restaurants,Hotels,CHALET.NS
95,,Fertilizers,Fertilizers,CHAMBLFERT.NS
96,,Refineries,Refineries,CHENNPETRO.NS
97,,Finance,Finance & Investments,CHOLAHLDNG.NS
98,,Finance,Finance & Investments,CHOLAFIN.NS
99,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,CIPLA.NS
100,,Banks,Banks - Private Sector,CUB.NS
101,,Mining & Mineral products,Mining / Minerals / Metals,COALINDIA.NS
102,,Ship Building,Miscellaneous,COCHINSHIP.NS
103,,FMCG,Personal Care - Multinational,COLPAL.NS
104,,Logistics,Miscellaneous,CONCOR.NS
105,,Fertilizers,Fertilizers,COROMANDEL.NS
106,,Finance,Finance & Investments,CREDITACC.NS
107,,Capital Goods - Electrical Equipment,Electric Equipment,CROMPTON.NS
108,,Capital Goods-Non Electrical Equipment,Engines,CUMMINSIND.NS
109,,IT - Software,Computers - Software - Medium / Small,CYIENT.NS
110,,Media - Print/Television/Radio,Entertainment / Electronic Media Software,DBCORP.NS
111,,Banks,Banks - Private Sector,DCBBANK.NS
112,,Diversified,Diversified - Mega,DCMSHRIRAM.NS
113,,Realty,Construction,DLF.NS
114,,FMCG,Personal Care - Indian,DABUR.NS
115,,Cement,Cement - South India,DALBHARAT.NS
116,,Chemicals,Chemicals,DEEPAKNTR.NS
117,,Entertainment,Miscellaneous,DELTACORP.NS
118,,Finance,Finance - Housing,DHFL.NS
119,,Infrastructure Developers & Operators,Construction,DBL.NS
120,,Entertainment,Entertainment / Electronic Media Software,DISHTV.NS
121,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,DCAL.NS
122,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs,DIVISLAB.NS
123,,Consumer Durables,Electronics - Consumer,DIXON.NS
124,,Healthcare,Healthcare,LALPATHLAB.NS
125,,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,DRREDDY.NS
126,,Sugar,Sugar,EIDPARRY.NS
127,,Hotels & Restaurants,Hotels,EIHOTEL.NS
128,,Finance,Finance & Investments,EDELWEISS.NS
129,,Automobile,Automobiles - Motorcycles / Mopeds,EICHERMOT.NS
130,,Capital Goods-Non Electrical Equipment,Compressors / Drilling Equipment,ELGIEQUIP.NS
131,,FMCG,Personal Care - Indian,EMAMILTD.NS
132,,Auto Ancillaries,Auto Ancillaries,ENDURANCE.NS
133,,Infrastructure Developers & Operators,Engineering - Turnkey Services,ENGINERSIN.NS
134,,Finance,Finance & Investments,EQUITAS.NS
135,,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,ERIS.NS
136,,Automobile,Automobiles - Tractors,ESCORTS.NS
137,,Packaging,Packaging,ESSELPACK.NS
138,,Auto Ancillaries,Auto Ancillaries,EXIDEIND.NS
