,Training,avg,testing
0,19095.366594216754,6443.624056024107,10269.093246488064
1,13486.377265759382,4836.054696421991,7937.734808699608
2,16080.802509038982,5514.321352013035,10793.310199050316
3,18255.642312299566,6897.404724718037,10277.00345607561
4,17884.482677305004,5106.137486711992,11210.240829310229
5,18607.42014773802,6042.034555696104,9390.694732579324
6,18331.189694760425,5588.679622548737,10171.93607434518
7,12421.032718764161,4162.361609649422,10000.0
8,16683.94227928957,6696.173685127147,11318.66938651342
9,23257.131598475124,6422.6315583726555,7927.840676579645
10,14359.947859529464,5747.883402149782,10353.441190979433
11,14938.066506299794,6021.335045382907,10166.25826835234
12,18583.857008138883,6234.819038672927,12363.682992631793
13,20789.92570894112,7440.448147392533,12427.737046650484
14,14007.35811707682,5734.494411672092,8972.772636091282
15,20646.46506241655,4820.761370578891,12758.886638786113
16,15215.897136082393,5519.337966586789,10851.13113464171
17,13714.07843220673,4647.37090784354,8217.181790590388
18,13888.171435841825,5156.385084055367,6943.989801307968
19,13417.285311836273,5236.090677960207,5412.987198230258
20,28944.79646836508,8624.63580807989,10733.112763394607
21,17624.370141202748,5151.863320384282,4373.4690032141825
22,18366.446659499445,5420.953594057633,8867.662096547727
23,17733.46877927703,5351.556113070471,11837.77054995227
24,16025.38491096422,6063.9610387847015,12077.775238834025
25,14286.163560047315,6104.8683294186285,11930.443502310183
26,13770.869226791074,5502.370349899087,9279.195638692097
27,14698.41503546802,6223.729691822588,10926.30371618439
28,14679.452477958701,4067.0208184989187,8962.9976196774
29,15482.170383268634,5386.3458959722075,9811.57901421738
30,13822.281934651335,5844.641784242611,10220.36792901563
31,18678.63173836283,6507.183637521089,8895.0555364712
32,17063.272621600336,5718.309485172366,11129.120606144505
33,17407.673871588868,4450.673204255822,10294.294597600705
34,15560.95944275647,5792.5101093983985,9810.863168433407
35,13236.064687799932,5584.682502473451,11688.084195078925
36,16716.307146888328,5923.613610987177,10697.46219588814
37,10859.0918105284,4300.964424068308,10273.247975147027
38,14135.653623197406,5297.525405821898,11814.41387008686
39,12916.176728034257,5357.724744326852,9896.343610686845
40,20667.7886462326,6595.444025851399,11888.105071863167
41,19125.69522268022,6518.633192527963,8172.321315436482
42,18303.963219960868,4555.52865348055,10158.119100487716
43,14619.904380285181,5540.79295745208,8845.276600680209
44,12170.689828739716,4678.147992842249,10000.0
