,Pairs,Training,avg,2015,2016,2017,2018,2019
0,"('banks\\ALBK.BO.csv', 'banks\\ANDHRABANK.BO.csv')","[10000.0, 10000, 10000.0, 10000.0, 10000]",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,"('banks\\ALBK.BO.csv', 'banks\\AXISBANK.BO.csv')","[9603.905926172496, 10135.683501229403, 11379.569825062137, 11007.327863589915, 10753.50179835819]",10575.997782882429,9603.905926172496,10135.683501229403,11379.569825062137,11007.327863589915,10753.50179835819
2,"('banks\\ALBK.BO.csv', 'banks\\BANKBARODA.BO.csv')","[11526.709047811231, 10000, 10994.070250945322, 10709.664113724342, 10000.0]",10646.088682496178,11526.709047811231,10000.0,10994.070250945322,10709.664113724342,10000.0
3,"('banks\\ALBK.BO.csv', 'banks\\BANKINDIA.BO.csv')","[11427.09709942314, 10000, 10000.0, 10000, 11797.08514826284]",10644.836449537197,11427.09709942314,10000.0,10000.0,10000.0,11797.08514826284
4,"('banks\\ALBK.BO.csv', 'banks\\CANBK.BO.csv')","[10000.0, 10531.99249272416, 10000, 9858.948327945345, 10849.667458285972]",10248.121655791096,10000.0,10531.99249272416,10000.0,9858.948327945345,10849.667458285972
5,"('banks\\ALBK.BO.csv', 'banks\\CORPBANK.BO (1).csv')","[12041.618945575829, 10614.69581337136, 10397.214905188877, 10000, 10193.806569421811]",10649.467246711574,12041.618945575829,10614.69581337136,10397.214905188877,10000.0,10193.806569421811
6,"('banks\\ALBK.BO.csv', 'banks\\CUB.BO.csv')","[12377.283185445045, 9908.130143072663, 9713.749283194851, 11675.501872762487, 10743.734157183182]",10883.679728331646,12377.283185445045,9908.130143072663,9713.749283194851,11675.501872762487,10743.734157183182
7,"('banks\\ALBK.BO.csv', 'banks\\DCBBANK.BO.csv')","[10000, 10000.0, 11129.861839316145, 10000.0, 10000.0]",10225.972367863229,10000.0,10000.0,11129.861839316145,10000.0,10000.0
8,"('banks\\ALBK.BO.csv', 'banks\\HDFCBANK.BO.csv')","[9752.24497559901, 10000, 10000.0, 9494.311176054653, 10977.526837349287]",10044.816597800589,9752.24497559901,10000.0,10000.0,9494.311176054653,10977.526837349287
9,"('banks\\ALBK.BO.csv', 'banks\\ICICIBANK.BO.csv')","[10880.475712537616, 10000, 10561.364114182408, 10000.0, 10598.870424053795]",10408.142050154764,10880.475712537616,10000.0,10561.364114182408,10000.0,10598.870424053795
10,"('banks\\ALBK.BO.csv', 'banks\\INDUSINDBK.BO.csv')","[9260.98704078598, 10000, 10573.186563649142, 11663.233558284592, 9740.362960051501]",10247.554024554242,9260.98704078598,10000.0,10573.186563649142,11663.233558284592,9740.362960051501
11,"('banks\\ALBK.BO.csv', 'banks\\KOTAKBANK.BO.csv')","[9492.142419967819, 10000, 10000.0, 10401.05105089127, 10053.559889610922]",9989.350672094002,9492.142419967819,10000.0,10000.0,10401.05105089127,10053.559889610922
12,"('banks\\ALBK.BO.csv', 'banks\\KTKBANK.BO.csv')","[10370.078188365278, 9344.707297061388, 10949.836395167158, 11307.689304273561, 11473.918676879188]",10689.245972349314,10370.078188365278,9344.707297061388,10949.836395167158,11307.689304273561,11473.918676879188
13,"('banks\\ALBK.BO.csv', 'banks\\SBIN.BO.csv')","[10175.202886290746, 10000, 10000.0, 10267.30986994294, 10645.155561626834]",10217.533663572103,10175.202886290746,10000.0,10000.0,10267.30986994294,10645.155561626834
14,"('banks\\ALBK.BO.csv', 'banks\\YESBANK.BO.csv')","[10000.0, 10845.312713310128, 12073.40723815979, 12278.023156329866, 10526.316028836136]",11144.611827327182,10000.0,10845.312713310128,12073.40723815979,12278.023156329866,10526.316028836136
15,"('banks\\ANDHRABANK.BO.csv', 'banks\\AXISBANK.BO.csv')","[9021.39320138307, 10000.0, 11030.60610686264, 13014.935812227694, 8471.009014736144]",10307.58882704191,9021.39320138307,10000.0,11030.60610686264,13014.935812227694,8471.009014736144
16,"('banks\\ANDHRABANK.BO.csv', 'banks\\BANKBARODA.BO.csv')","[11437.791547997116, 10691.667817592745, 10111.927542819638, 10185.829744599581, 10501.239796007398]",10585.691289803295,11437.791547997116,10691.667817592745,10111.927542819638,10185.829744599581,10501.239796007398
17,"('banks\\ANDHRABANK.BO.csv', 'banks\\BANKINDIA.BO.csv')","[10000.0, 10000, 10000, 10000, 10000.0]",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
18,"('banks\\ANDHRABANK.BO.csv', 'banks\\CANBK.BO.csv')","[10000.0, 10000, 10000, 10415.171301446566, 10321.412021759708]",10147.316664641254,10000.0,10000.0,10000.0,10415.171301446566,10321.412021759708
19,"('banks\\ANDHRABANK.BO.csv', 'banks\\CORPBANK.BO (1).csv')","[10788.04660789312, 10222.167677369944, 10419.970878388347, 10341.292647327129, 10000]",10354.295562195708,10788.04660789312,10222.167677369944,10419.970878388347,10341.292647327129,10000.0
20,"('banks\\ANDHRABANK.BO.csv', 'banks\\CUB.BO.csv')","[11325.782570665226, 11668.961249648666, 10707.473556264522, 12867.979438803508, 9871.671638448135]",11288.37369076601,11325.782570665226,11668.961249648666,10707.473556264522,12867.979438803508,9871.671638448135
21,"('banks\\ANDHRABANK.BO.csv', 'banks\\DCBBANK.BO.csv')","[10000, 11866.757764122915, 10000, 10451.856774218199, 10459.827236338551]",10555.688354935934,10000.0,11866.757764122915,10000.0,10451.856774218199,10459.827236338551
22,"('banks\\ANDHRABANK.BO.csv', 'banks\\HDFCBANK.BO.csv')","[11490.222695236162, 10310.81059484543, 10000, 10843.132277255743, 10431.721606057752]",10615.177434679015,11490.222695236162,10310.81059484543,10000.0,10843.132277255743,10431.721606057752
23,"('banks\\ANDHRABANK.BO.csv', 'banks\\ICICIBANK.BO.csv')","[10840.74455127104, 11354.922183076877, 10000.0, 10440.696944807012, 10000]",10527.272735830986,10840.74455127104,11354.922183076877,10000.0,10440.696944807012,10000.0
24,"('banks\\ANDHRABANK.BO.csv', 'banks\\INDUSINDBK.BO.csv')","[10577.520582498557, 10000, 12004.183266675544, 10544.883298472247, 9991.175982995952]",10623.55262612846,10577.520582498557,10000.0,12004.183266675544,10544.883298472247,9991.175982995952
25,"('banks\\ANDHRABANK.BO.csv', 'banks\\KOTAKBANK.BO.csv')","[11398.84863147981, 10308.109477416667, 10677.602289361905, 12481.466119558077, 11431.902152970237]",11259.58573415734,11398.84863147981,10308.109477416667,10677.602289361905,12481.466119558077,11431.902152970237
26,"('banks\\ANDHRABANK.BO.csv', 'banks\\KTKBANK.BO.csv')","[10000.0, 10000.0, 9683.806839379275, 10000.0, 9857.982971282167]",9908.35796213229,10000.0,10000.0,9683.806839379275,10000.0,9857.982971282167
27,"('banks\\ANDHRABANK.BO.csv', 'banks\\SBIN.BO.csv')","[10656.837571328884, 10454.631031908484, 10462.50448636281, 10693.450606966227, 10000]",10453.48473931328,10656.837571328884,10454.631031908484,10462.50448636281,10693.450606966227,10000.0
28,"('banks\\ANDHRABANK.BO.csv', 'banks\\YESBANK.BO.csv')","[10000.0, 11204.069171573952, 10020.27866706871, 10731.623014869005, 9348.154599000223]",10260.825090502378,10000.0,11204.069171573952,10020.27866706871,10731.623014869005,9348.154599000223
29,"('banks\\AXISBANK.BO.csv', 'banks\\BANKBARODA.BO.csv')","[10851.38598693187, 10587.320184227807, 10058.571845278562, 11280.19177019443, 9878.857332702899]",10531.265423867113,10851.38598693187,10587.320184227807,10058.571845278562,11280.19177019443,9878.857332702899
30,"('banks\\AXISBANK.BO.csv', 'banks\\BANKINDIA.BO.csv')","[10000.0, 10385.497401474031, 9329.363405303868, 13051.193889083403, 8708.408452945034]",10294.892629761267,10000.0,10385.497401474031,9329.363405303868,13051.193889083403,8708.408452945034
31,"('banks\\AXISBANK.BO.csv', 'banks\\CANBK.BO.csv')","[9779.558626627357, 9568.88818521379, 8855.503164236918, 12848.672051943118, 11341.861118180426]",10478.896629240324,9779.558626627357,9568.88818521379,8855.503164236918,12848.672051943118,11341.861118180426
32,"('banks\\AXISBANK.BO.csv', 'banks\\CORPBANK.BO (1).csv')","[10000, 10292.30759846033, 10252.799539691732, 10114.39659826603, 9514.887493573857]",10034.878245998389,10000.0,10292.30759846033,10252.799539691732,10114.39659826603,9514.887493573857
33,"('banks\\AXISBANK.BO.csv', 'banks\\CUB.BO.csv')","[11959.168433608309, 10801.798810843542, 10528.391880200077, 12741.072188011118, 10597.991871171189]",11325.684636766846,11959.168433608309,10801.798810843542,10528.391880200077,12741.072188011118,10597.991871171189
34,"('banks\\AXISBANK.BO.csv', 'banks\\DCBBANK.BO.csv')","[10834.556119434192, 11356.453919874331, 9693.836553019242, 11336.700315214544, 9933.976425358811]",10631.104666580224,10834.556119434192,11356.453919874331,9693.836553019242,11336.700315214544,9933.976425358811
35,"('banks\\AXISBANK.BO.csv', 'banks\\HDFCBANK.BO.csv')","[9798.352685969498, 10096.203068874316, 9923.614012985192, 10209.963245693503, 10679.063309744004]",10141.439264653303,9798.352685969498,10096.203068874316,9923.614012985192,10209.963245693503,10679.063309744004
36,"('banks\\AXISBANK.BO.csv', 'banks\\ICICIBANK.BO.csv')","[10122.787344124368, 10000.0, 10600.414691901646, 10193.86621993257, 10583.410023032187]",10300.095655798154,10122.787344124368,10000.0,10600.414691901646,10193.86621993257,10583.410023032187
37,"('banks\\AXISBANK.BO.csv', 'banks\\INDUSINDBK.BO.csv')","[9212.163689929572, 10000.0, 10968.915741444313, 9972.536130791219, 9377.980382622984]",9906.319188957616,9212.163689929572,10000.0,10968.915741444313,9972.536130791219,9377.980382622984
38,"('banks\\AXISBANK.BO.csv', 'banks\\KOTAKBANK.BO.csv')","[9271.543927593328, 10470.047421398202, 10044.580866979737, 11010.15218947336, 10235.228392819303]",10206.310559652786,9271.543927593328,10470.047421398202,10044.580866979737,11010.15218947336,10235.228392819303
39,"('banks\\AXISBANK.BO.csv', 'banks\\KTKBANK.BO.csv')","[9354.76763646481, 10000, 10221.46799377595, 11387.228614168842, 10322.989989219628]",10257.290846725846,9354.76763646481,10000.0,10221.46799377595,11387.228614168842,10322.989989219628
40,"('banks\\AXISBANK.BO.csv', 'banks\\SBIN.BO.csv')","[10327.104372510687, 10000.0, 10000.0, 12018.884487468898, 11015.935513441884]",10672.384874684294,10327.104372510687,10000.0,10000.0,12018.884487468898,11015.935513441884
41,"('banks\\AXISBANK.BO.csv', 'banks\\YESBANK.BO.csv')","[10000.0, 10796.606545516592, 10407.76265126801, 10000, 9827.861479761632]",10206.446135309247,10000.0,10796.606545516592,10407.76265126801,10000.0,9827.861479761632
42,"('banks\\BANKBARODA.BO.csv', 'banks\\BANKINDIA.BO.csv')","[10297.070617960897, 10000, 10000.0, 10866.436850589198, 11359.113915262324]",10504.524276762484,10297.070617960897,10000.0,10000.0,10866.436850589198,11359.113915262324
43,"('banks\\BANKBARODA.BO.csv', 'banks\\CANBK.BO.csv')","[10273.627507832103, 10164.615781928773, 10000, 10476.494282620544, 11034.143931719242]",10389.776300820133,10273.627507832103,10164.615781928773,10000.0,10476.494282620544,11034.143931719242
44,"('banks\\BANKBARODA.BO.csv', 'banks\\CORPBANK.BO (1).csv')","[11225.798530111068, 10000, 10650.061610335772, 10000.0, 11609.330993404148]",10697.038226770197,11225.798530111068,10000.0,10650.061610335772,10000.0,11609.330993404148
45,"('banks\\BANKBARODA.BO.csv', 'banks\\CUB.BO.csv')","[10754.317053153147, 11418.391604031982, 10464.4509999589, 11148.336628941814, 10970.958857393362]",10951.291028695841,10754.317053153147,11418.391604031982,10464.4509999589,11148.336628941814,10970.958857393362
46,"('banks\\BANKBARODA.BO.csv', 'banks\\DCBBANK.BO.csv')","[11473.112785731162, 10000.0, 11746.430908717963, 11089.004834751675, 12487.634547673897]",11359.236615374937,11473.112785731162,10000.0,11746.430908717963,11089.004834751675,12487.634547673897
47,"('banks\\BANKBARODA.BO.csv', 'banks\\HDFCBANK.BO.csv')","[11279.198315140926, 10735.96714300357, 12262.425453610862, 9753.010840845935, 10719.561080831496]",10950.032566686557,11279.198315140926,10735.96714300357,12262.425453610862,9753.010840845935,10719.561080831496
48,"('banks\\BANKBARODA.BO.csv', 'banks\\ICICIBANK.BO.csv')","[11187.883533467106, 10250.954176922536, 12522.086105644132, 9223.663767757798, 10000.0]",10636.917516758313,11187.883533467106,10250.954176922536,12522.086105644132,9223.663767757798,10000.0
49,"('banks\\BANKBARODA.BO.csv', 'banks\\INDUSINDBK.BO.csv')","[10562.951215531626, 11544.122013660875, 13079.423015464386, 9835.301216734792, 12082.524253757867]",11420.864343029909,10562.951215531626,11544.122013660875,13079.423015464386,9835.301216734792,12082.524253757867
50,"('banks\\BANKBARODA.BO.csv', 'banks\\KOTAKBANK.BO.csv')","[12240.100982300002, 10884.811940488997, 12210.107645609127, 9924.573528197732, 12398.348228281691]",11531.58846497551,12240.100982300002,10884.811940488997,12210.107645609127,9924.573528197732,12398.348228281691
51,"('banks\\BANKBARODA.BO.csv', 'banks\\KTKBANK.BO.csv')","[10258.24175519147, 10875.504349383084, 10186.64418761729, 10631.005688415495, 10691.598230466805]",10528.59884221483,10258.24175519147,10875.504349383084,10186.64418761729,10631.005688415495,10691.598230466805
52,"('banks\\BANKBARODA.BO.csv', 'banks\\SBIN.BO.csv')","[10464.75926565591, 9868.942234891922, 10000, 10000, 10000]",10066.740300109566,10464.75926565591,9868.942234891922,10000.0,10000.0,10000.0
53,"('banks\\BANKBARODA.BO.csv', 'banks\\YESBANK.BO.csv')","[10000, 9682.174691649587, 10794.738082790813, 11007.78354923111, 9422.965571826586]",10181.532379099619,10000.0,9682.174691649587,10794.738082790813,11007.78354923111,9422.965571826586
54,"('banks\\BANKINDIA.BO.csv', 'banks\\CANBK.BO.csv')","[10410.65167708369, 10000, 10000, 10000.0, 10607.77625677597]",10203.685586771931,10410.65167708369,10000.0,10000.0,10000.0,10607.77625677597
55,"('banks\\BANKINDIA.BO.csv', 'banks\\CORPBANK.BO (1).csv')","[10000, 10000, 10000.0, 10000, 11042.8555142939]",10208.57110285878,10000.0,10000.0,10000.0,10000.0,11042.8555142939
56,"('banks\\BANKINDIA.BO.csv', 'banks\\CUB.BO.csv')","[10710.192611651593, 9739.41155470477, 10765.64034323982, 14625.787486247827, 9809.70103959719]",11130.14660708824,10710.192611651593,9739.41155470477,10765.64034323982,14625.787486247827,9809.70103959719
57,"('banks\\BANKINDIA.BO.csv', 'banks\\DCBBANK.BO.csv')","[10000, 10000.0, 11036.371668592776, 10000.0, 10000.0]",10207.274333718557,10000.0,10000.0,11036.371668592776,10000.0,10000.0
58,"('banks\\BANKINDIA.BO.csv', 'banks\\HDFCBANK.BO.csv')","[11716.295832299607, 10000, 10000.0, 11929.128341830317, 12381.850171620008]",11205.454869149986,11716.295832299607,10000.0,10000.0,11929.128341830317,12381.850171620008
59,"('banks\\BANKINDIA.BO.csv', 'banks\\ICICIBANK.BO.csv')","[10102.735223616655, 10000, 10000.0, 13190.392988382591, 8971.395462150009]",10452.904734829852,10102.735223616655,10000.0,10000.0,13190.392988382591,8971.395462150009
60,"('banks\\BANKINDIA.BO.csv', 'banks\\INDUSINDBK.BO.csv')","[10593.21790446477, 10000, 10000.0, 12464.294353152847, 8986.293353376144]",10408.761122198754,10593.21790446477,10000.0,10000.0,12464.294353152847,8986.293353376144
61,"('banks\\BANKINDIA.BO.csv', 'banks\\KOTAKBANK.BO.csv')","[10726.158841794195, 10000, 10000.0, 11754.901429739833, 9724.845844160158]",10441.181223138838,10726.158841794195,10000.0,10000.0,11754.901429739833,9724.845844160158
62,"('banks\\BANKINDIA.BO.csv', 'banks\\KTKBANK.BO.csv')","[10000.0, 10000, 10000.0, 12018.419404455946, 9346.475213194706]",10272.978923530132,10000.0,10000.0,10000.0,12018.419404455946,9346.475213194706
63,"('banks\\BANKINDIA.BO.csv', 'banks\\SBIN.BO.csv')","[10000, 10000, 10178.867364567996, 9836.571151297716, 11041.60254210541]",10211.408211594224,10000.0,10000.0,10178.867364567996,9836.571151297716,11041.60254210541
64,"('banks\\BANKINDIA.BO.csv', 'banks\\YESBANK.BO.csv')","[10000, 9925.676980557342, 9928.18037645468, 11356.613771501776, 9215.654512639969]",10085.225128230752,10000.0,9925.676980557342,9928.18037645468,11356.613771501776,9215.654512639969
65,"('banks\\CANBK.BO.csv', 'banks\\CORPBANK.BO (1).csv')","[10000, 10303.572838633168, 10000, 10000, 10000.0]",10060.714567726634,10000.0,10303.572838633168,10000.0,10000.0,10000.0
66,"('banks\\CANBK.BO.csv', 'banks\\CUB.BO.csv')","[11188.43526736931, 11483.77054209787, 11921.863509401519, 10938.309869343357, 10978.759391507965]",11302.227715944004,11188.43526736931,11483.77054209787,11921.863509401519,10938.309869343357,10978.759391507965
67,"('banks\\CANBK.BO.csv', 'banks\\DCBBANK.BO.csv')","[10433.676920812613, 11479.807654396242, 10000, 10520.613301249517, 10000.0]",10486.819575291674,10433.676920812613,11479.807654396242,10000.0,10520.613301249517,10000.0
68,"('banks\\CANBK.BO.csv', 'banks\\HDFCBANK.BO.csv')","[10984.457663854912, 8854.475944333968, 10000, 11372.262092336605, 11678.070377828253]",10577.853215670748,10984.457663854912,8854.475944333968,10000.0,11372.262092336605,11678.070377828253
69,"('banks\\CANBK.BO.csv', 'banks\\ICICIBANK.BO.csv')","[10322.099037794042, 10019.761707158083, 10172.574381330633, 10000.0, 10000]",10102.88702525655,10322.099037794042,10019.761707158083,10172.574381330633,10000.0,10000.0
70,"('banks\\CANBK.BO.csv', 'banks\\INDUSINDBK.BO.csv')","[7534.269972056045, 10003.345325924194, 10000, 11670.497621462568, 10000.0]",9841.622583888562,7534.269972056045,10003.345325924194,10000.0,11670.497621462568,10000.0
71,"('banks\\CANBK.BO.csv', 'banks\\KOTAKBANK.BO.csv')","[8406.418259071783, 10719.933067202255, 8605.705648666568, 10096.028087894985, 11292.662593648743]",9824.149531296867,8406.418259071783,10719.933067202255,8605.705648666568,10096.028087894985,11292.662593648743
72,"('banks\\CANBK.BO.csv', 'banks\\KTKBANK.BO.csv')","[10651.37885313846, 10511.908265636437, 10636.39059046955, 10198.237370656258, 11394.568799048659]",10678.496775789874,10651.37885313846,10511.908265636437,10636.39059046955,10198.237370656258,11394.568799048659
73,"('banks\\CANBK.BO.csv', 'banks\\SBIN.BO.csv')","[10000, 10000, 10248.296098378109, 10681.26836334664, 10338.093961435046]",10253.531684631958,10000.0,10000.0,10248.296098378109,10681.26836334664,10338.093961435046
74,"('banks\\CANBK.BO.csv', 'banks\\YESBANK.BO.csv')","[10877.333715094272, 11026.518251804835, 10350.87394234018, 12103.461027594713, 10000]",10871.6373873668,10877.333715094272,11026.518251804835,10350.87394234018,12103.461027594713,10000.0
75,"('banks\\CORPBANK.BO (1).csv', 'banks\\CUB.BO.csv')","[10146.296532471055, 9879.92631782513, 10000, 9378.325182848035, 12289.14280612884]",10338.738167854612,10146.296532471055,9879.92631782513,10000.0,9378.325182848035,12289.14280612884
76,"('banks\\CORPBANK.BO (1).csv', 'banks\\DCBBANK.BO.csv')","[9911.749650417501, 10942.15821793465, 11850.694393063864, 10052.5855802753, 9867.447316202848]",10524.927031578834,9911.749650417501,10942.15821793465,11850.694393063864,10052.5855802753,9867.447316202848
