,Pairs,2015,2016,2017,2018,2019
0,"('banks\\ALBK.BO.csv', 'banks\\ANDHRABANK.BO.csv')",0.05947777561828621,0.0008869060376010418,0.032773629172828646,0.08735769997283571,0.11522972470186443
1,"('banks\\ALBK.BO.csv', 'banks\\AXISBANK.BO.csv')",0.8349349463936566,0.9972678232490944,0.8732619928336595,0.8302620187764049,0.13546968703992263
2,"('banks\\ALBK.BO.csv', 'banks\\BANKBARODA.BO.csv')",0.8735931526952805,0.9875988598121236,0.6876324707725123,0.7891334941726202,0.045034601832433796
3,"('banks\\ALBK.BO.csv', 'banks\\BANKINDIA.BO.csv')",0.06647070815915378,5.4334525843565555e-05,0.013315875780353809,0.11582256766515714,0.16013909543971394
4,"('banks\\ALBK.BO.csv', 'banks\\CANBK.BO.csv')",0.006969094896557126,0.015383525278171663,0.05103422949976752,0.19446678825976044,0.4415411157140719
5,"('banks\\ALBK.BO.csv', 'banks\\CORPBANK.BO (1).csv')",0.5386421144691808,0.6599044162387504,0.3142651572445528,0.3380412776250655,0.001058068610518027
6,"('banks\\ALBK.BO.csv', 'banks\\CUB.BO.csv')",0.9477293204030448,0.9786471540846382,0.8690126118221211,0.9686789436910238,0.8035138994592419
7,"('banks\\ALBK.BO.csv', 'banks\\DCBBANK.BO.csv')",0.6581599846792959,0.9984456128229977,0.755491311994257,0.8269520862660535,0.6863450136675958
8,"('banks\\ALBK.BO.csv', 'banks\\HDFCBANK.BO.csv')",0.9417657511864903,0.9419334070670008,0.8556553236910676,0.9288806412727701,0.68968574422371
9,"('banks\\ALBK.BO.csv', 'banks\\ICICIBANK.BO.csv')",0.9628560517623478,0.9957348100782863,0.7789301575579719,0.7730672381028983,0.07688086889516255
10,"('banks\\ALBK.BO.csv', 'banks\\INDUSINDBK.BO.csv')",0.9673745433150771,0.9937394891554986,0.9663879448669983,0.957226562776358,0.6501794895025161
11,"('banks\\ALBK.BO.csv', 'banks\\KOTAKBANK.BO.csv')",0.9477254039544375,0.9908456444277037,0.9307361157638226,0.8967312737656381,0.28586095971533665
12,"('banks\\ALBK.BO.csv', 'banks\\KTKBANK.BO.csv')",0.6135964238623416,0.6819781153437584,0.8030338745422476,0.7062105009053392,0.7364701331212604
13,"('banks\\ALBK.BO.csv', 'banks\\SBIN.BO.csv')",0.8922482565827321,0.9944793243664681,0.7456708530352127,0.8507967144678641,0.07272582277573587
14,"('banks\\ALBK.BO.csv', 'banks\\YESBANK.BO.csv')",0.8388107286022968,0.995909796542037,0.9252974045832968,0.984417360804186,0.741061700344594
15,"('banks\\ANDHRABANK.BO.csv', 'banks\\AXISBANK.BO.csv')",0.8787867907092256,0.9969484129660086,0.8540693621046905,0.8338864726945611,0.06306525553971705
16,"('banks\\ANDHRABANK.BO.csv', 'banks\\BANKBARODA.BO.csv')",0.9435229081345607,0.9805363094609478,0.6624232306219869,0.7802412216911929,0.021465568391560254
17,"('banks\\ANDHRABANK.BO.csv', 'banks\\BANKINDIA.BO.csv')",0.02461829850114824,0.00013169748294057374,0.25427605039250833,0.3961575196907341,0.404083572390854
18,"('banks\\ANDHRABANK.BO.csv', 'banks\\CANBK.BO.csv')",0.03835457451475908,0.07685172661468309,0.034399635356077866,0.18660555875114504,0.46001985130116096
19,"('banks\\ANDHRABANK.BO.csv', 'banks\\CORPBANK.BO (1).csv')",0.7176004344931404,0.6475468335707725,0.38713292491226864,0.2892955958072415,0.010161047623016523
