,Pairs,2015,2016,2017,2018,2019
0,"('banks\\ALBK.BO.csv', 'banks\\ANDHRABANK.BO.csv')",0.11498131996741723,0.006211388240952663,0.023705570500372367,0.1094301144936412,0.15524937570206326
1,"('banks\\ALBK.BO.csv', 'banks\\AXISBANK.BO.csv')",0.7584642413265855,0.9070082528678096,0.3940220512038081,0.21120704346028146,0.19868218759525413
2,"('banks\\ALBK.BO.csv', 'banks\\BANKBARODA.BO.csv')",0.3620373182604587,0.5129735513743777,0.027351105384595096,0.07523601363027332,0.1580036933390841
3,"('banks\\ALBK.BO.csv', 'banks\\BANKINDIA.BO.csv')",0.2620176757804742,0.0003351445119705463,0.0525707865918663,0.11409610228647188,0.22060212865439738
4,"('banks\\ALBK.BO.csv', 'banks\\CANBK.BO.csv')",0.03629528379194238,0.007437234301137905,0.0050151133369047435,0.00865568976694523,0.0502805165740766
5,"('banks\\ALBK.BO.csv', 'banks\\CORPBANK.BO (1).csv')",0.3730459402697263,0.06827218725316099,0.31992660876401235,0.5162818047963447,0.016751154111121005
6,"('banks\\ALBK.BO.csv', 'banks\\CUB.BO.csv')",0.686773090384448,0.15984165733812788,0.02003993717649802,0.006060244100078115,0.2093900539091318
7,"('banks\\ALBK.BO.csv', 'banks\\DCBBANK.BO.csv')",0.8184797042073226,0.9854892655093118,0.37627033385758607,0.17261774660195073,0.25969140737255036
8,"('banks\\ALBK.BO.csv', 'banks\\HDFCBANK.BO.csv')",0.7440736229702353,0.1008146672739541,0.04434847360837986,0.07975184457427953,0.28929730995733216
9,"('banks\\ALBK.BO.csv', 'banks\\ICICIBANK.BO.csv')",0.9153569323167863,0.6010318542643819,0.07852757072932658,0.4096949887576285,0.012626951989186784
10,"('banks\\ALBK.BO.csv', 'banks\\INDUSINDBK.BO.csv')",0.6762877486726524,0.3568667694262889,0.4157684817131383,0.08459239249463879,0.2764370751361722
