,Training,avg,testing
0,15723.39997092692,12339.478015581033,10284.229598881418
1,15062.35994925489,9517.095935584017,8802.925103628873
2,16379.750684363422,9569.205609860057,10870.16559850225
3,15038.083717241512,12115.364496015058,10629.01367600543
4,12773.227800279594,9318.731265366034,10766.316786039999
5,16150.244047696258,11042.912143590584,9279.43308115364
6,12624.850128701648,9556.21681509095,11799.085247357292
7,18158.971587789456,11463.316923219882,10746.680330339746
8,15862.497318698715,12311.21670997888,10950.172477827315
9,18972.74995742543,11686.003771410044,11010.474485215633
10,16847.017169823463,12946.612143775736,10103.48183946644
11,17695.80160071948,13224.562078213568,10992.211979404183
12,19575.21586405394,13745.936458463342,10062.820258408752
13,19831.41102518842,13283.588905970102,9296.517416734938
14,17560.85926410956,12588.563622103018,9763.497650565267
15,12698.101589999973,10186.613729222701,10444.738590444835
16,12590.134596941749,10805.33334941076,11073.148005783078
17,20482.068891474497,11074.493970508165,10169.353104158115
18,17356.16149465766,11788.372969987624,9319.235583310883
19,14165.630315283299,10361.69237643254,12720.647053084529
20,23443.405263841047,14746.73884980805,10313.236077925554
21,18609.088238664655,10814.42348896656,9943.935012298181
22,13165.463991946723,9226.393507439527,10454.130752673513
23,14538.949181271804,10674.964385035548,10643.18365451186
24,18643.922279465965,11775.311849509986,12101.62134347897
25,14355.029096779259,11829.21986819188,10960.920496724633
26,15311.827600892808,10645.05467317485,9667.086454257484
27,13575.606169544677,11108.163864175169,11272.231072142196
28,17991.35222136917,11914.86580371995,9670.055177902195
29,15541.956088703926,11727.215014447886,10323.331388931696
30,14451.50949756349,11340.602949865373,10017.505990215857
31,18877.06888498357,12934.8677767552,11435.06561751237
32,15986.070537309311,10655.243148617128,12328.12825768267
33,16272.453340443153,9976.735052211996,10385.384210422044
34,14803.352882288164,12198.816475094245,10742.490531925265
35,14724.217251942518,11470.108638581625,9839.223074345453
36,13774.346071906108,12053.993971379783,9891.226021368711
37,18301.458511478068,12864.16051506083,10663.68016832479
38,14080.27897701323,11081.252111751151,11355.778249998948
39,14245.180405813844,10495.379986488771,11015.437244112118
40,19470.37273436887,12713.598774847906,13360.814161311191
41,20126.045755473213,12054.058637191418,7776.544923693354
42,18970.425894290474,11567.043066871382,10522.099333661663
43,12973.709783688038,10434.40189836126,10034.622347092169
44,15775.049094729206,10950.29704758713,10281.304276252537
