,Training,avg,testing
0,15723.39997092692,11179.674900123928,10109.679217928327
1,15767.627957912715,9580.073380111442,7168.369921179176
2,19395.49945311651,9595.120057558002,10138.326463562811
3,18255.642312299566,11020.764880458637,10277.00345607561
4,18066.872379267792,9340.82552244411,10821.142433465271
5,17973.205183491653,10413.963260591367,9181.21098034628
6,18480.682295063358,9298.805544128516,9746.368501377516
7,17191.2660256659,10244.901357787165,10051.180362373683
8,15862.497318698715,11163.729184921247,10606.450284412284
9,20568.114811555955,11088.161941802118,7443.311235658333
10,16443.02286947722,11613.22348420418,10687.26570328316
11,17695.80160071948,11460.63364441573,10998.372346135382
12,19575.21586405394,11887.771404825917,9913.375661450842
13,19831.41102518842,12005.335196344424,9861.800520200002
14,16230.752818425073,11243.284019001752,9410.783836275927
15,12698.101589999973,9538.315955269707,10422.52259803893
16,12590.134596941749,10132.477799634018,10303.479369858385
17,20482.068891474497,10491.72269005094,9391.271121943799
18,19781.076756466973,10993.733715133087,7762.816777957252
19,14811.692837860392,9972.619337366594,9578.605856536931
20,24461.195315993828,13228.884147330868,8578.088848578467
21,19213.697617601454,10488.226165750864,8720.186861560369
22,19523.537785170884,9014.020725460117,8505.627156305249
23,18302.223683750894,10341.431011921963,9047.817961812725
24,18643.922279465965,10983.284391075624,11605.38635709979
25,13779.994638700513,10603.192276962329,10901.158275416303
26,14735.125280904747,10170.766706673317,9467.981012700846
27,14643.478967842162,10437.100688389804,10380.225435390505
28,17991.35222136917,10534.968414231262,9670.055177902195
29,14868.122654023187,10899.346992539316,10990.850478132219
30,14451.50949756349,10127.711995080817,9515.348003038202
31,18650.284187357043,11759.645067141664,8225.182042519751
32,21191.205022406506,9990.423039546318,11267.948012627881
33,14616.33467120654,9204.220211460557,10000.0
34,14803.352882288164,10907.275425266962,10151.643525283871
35,16796.4290764408,10599.489430809957,10509.079204691005
36,13700.291237604877,10768.442506041314,9642.870788838522
37,18301.458511478068,11057.008136241282,10000.0
38,14943.616172387232,10234.049483863835,10214.399471089944
39,14245.180405813844,10045.565662607107,10583.796261798787
40,19470.37273436887,11615.08347640104,11775.493623276743
41,20126.045755473213,11188.504589043247,8684.95327631927
42,18970.425894290474,10357.686196301769,10522.099333661663
43,16664.300692545097,9914.783964681712,8734.871239683845
44,14458.258490372496,9888.980260116732,10283.292333182366
